snagid,site,xc,yc,plotid,plot xc,plotyc,crs_epsg,sppid,treeDBH,treeHT,top,cavsum
HS210B_GF03,stj,569957.2167,5221053.739,HS210B,569981.065,5221037.91,26911,GF,0.28,22.96,INTACT,0
HS211C_GF01,stj,571264.9173,5220124.151,HS211C,571257.935,5220111.84,26911,GF,0.37,,INTACT,0
HS211C_GF02,stj,571277.4878,5220100.628,HS211C,571257.935,5220111.84,26911,GF,0.22,,INTACT,0
HS21X1_GF02,stj,570846.5504,5220020.774,HS21X1,570854.994,5220012.43,26911,GF,0.55,34.9,INTACT,0
HS21X1_GF03,stj,570839.5238,5220018.467,HS21X1,570854.994,5220012.43,26911,GF,0.21,18.83,INTACT,0
HS21X1_WL01,stj,570837.8701,5220023.56,HS21X1,570854.994,5220012.43,26911,WL,0.28,14.02,BT,0
HS220C_RC01,stj,570299.4902,5222196.346,HS220C,570300.165,5222171.46,26911,RC,0.9,22,BT,6
HS220C_RC03,stj,570291.8582,5222194.143,HS220C,570300.165,5222171.46,26911,RC,1.4,21.4,BT,0
HS220C_RC06,stj,570278.4993,5222195.319,HS220C,570300.165,5222171.46,26911,RC,1.27,13.9,BT,0
HS220G_RC01,stj,572707.4102,5219625.623,HS220G,572698.123,5219615.95,26911,RC,0.42,23.3,INTACT,1
HS220G_RC02,stj,572709.7101,5219605.09,HS220G,572698.123,5219615.95,26911,RC,0.38,2.3,BT,0
HS220G_RC04,stj,572692.3282,5219599.764,HS220G,572698.123,5219615.95,26911,RC,0.73,6.8,BT,0
HS220G_UN02,stj,572691.3895,5219602.086,HS220G,572698.123,5219615.95,26911,UN,0.44,19.6,INTACT,1
HS220H_WL01,stj,572275.9811,5219372.941,HS220H,572270.101,5219369.87,26911,WL,0.59,38.8,INTACT,0
HS220H_WL03,stj,572260.9237,5219363.533,HS220H,572270.101,5219369.87,26911,WL,0.64,50,INTACT,0
HS220H_WL04,stj,572252.9921,5219373.217,HS220H,572270.101,5219369.87,26911,WL,0.71,38,HIGH BT,1
HS220I_GF01,stj,571914.2571,5219093.351,HS220I,571914.257,5219093.35,26911,GF,0.69,4.7,BT,0
HS220I_GF02,stj,571914.2571,5219093.351,HS220I,571914.257,5219093.35,26911,GF,0.51,13.7,BT,0
HS220I_GF03,stj,571914.2571,5219093.351,HS220I,571914.257,5219093.35,26911,GF,0.46,3.6,BT,0
HS220I_GF04,stj,571914.2571,5219093.351,HS220I,571914.257,5219093.35,26911,GF,0.56,6,BT,0
HS220I_WL01,stj,571914.2571,5219093.351,HS220I,571914.257,5219093.35,26911,WL,0.64,47.1,INTACT,0
HS220I_WL02,stj,571914.2571,5219093.351,HS220I,571914.257,5219093.35,26911,WL,0.64,4.7,BT,0
HS220I_WL03,stj,571914.2571,5219093.351,HS220I,571914.257,5219093.35,26911,WL,0.69,36.6,INTACT,0
HS220I_WL04,stj,571914.2571,5219093.351,HS220I,571914.257,5219093.35,26911,WL,0.71,51.6,INTACT,0
HS220I_WL05,stj,571914.2571,5219093.351,HS220I,571914.257,5219093.35,26911,WL,0.64,22.6,BT,2
HS220I_WL06,stj,571914.2571,5219093.351,HS220I,571914.257,5219093.35,26911,WL,0.69,53.2,INTACT,0
HS221A_GF04,stj,568500.2899,5220661.391,HS221A,568507.308,5220664.47,26911,GF,0.3,3.74,BT,0
HS221A_RC01,stj,568490.6492,5220688.398,HS221A,568507.308,5220664.47,26911,RC,0.52,1.83,INTACT,0
HS221A_RC02,stj,568498.0419,5220659.031,HS221A,568507.308,5220664.47,26911,RC,0.46,1.65,BT,0
HS221A_RC03,stj,568488.3921,5220673.701,HS221A,568507.308,5220664.47,26911,RC,0.42,16.73,INTACT,0
HS221A_RC04,stj,568489.4871,5220664.267,HS221A,568507.308,5220664.47,26911,RC,0.45,1.5,BT,0
HS221A_UN01,stj,568509.6081,5220649.162,HS221A,568507.308,5220664.47,26911,UN,0.17,1.6,BT,0
HS221A_WL02,stj,568513.144,5220651.648,HS221A,568507.308,5220664.47,26911,WL,0.22,,BT,0
HS221A_WL03,stj,568514.5514,5220661.111,HS221A,568507.308,5220664.47,26911,WL,0.21,,INTACT,0
HS221A_WL04,stj,568504.3078,5220681.221,HS221A,568507.308,5220664.47,26911,WL,0.18,,INTACT,0
HS221A_WL05,stj,568490.7017,5220670.727,HS221A,568507.308,5220664.47,26911,WL,0.22,2,BT,0
HS221F_DF01,stj,568540.7513,5221700.712,HS221F,568539.897,5221689.37,26911,DF,0.38,7.93,BT,0
HS221F_ES01,stj,568544.0218,5221673.631,HS221F,568539.897,5221689.37,26911,ES,0.17,14.22,Intact,0
HS221F_GF02,stj,568538.0462,5221711.684,HS221F,568539.897,5221689.37,26911,GF,0.21,18.53,INTACT,0
HS221F_UN01,stj,568533.5896,5221690.515,HS221F,568539.897,5221689.37,26911,UN,0.33,21.21,INTACT,0
HS221F_UN02,stj,568539.1912,5221711.03,HS221F,568539.897,5221689.37,26911,UN,0.47,32.68,INTACT,0
HS221F_WL01,stj,568536.3448,5221701.439,HS221F,568539.897,5221689.37,26911,WL,0.2,13.26,BT,0
HS221F_WL02,stj,568519.1918,5221683.124,HS221F,568539.897,5221689.37,26911,WL,0.27,14.02,BT,0
HS221F_WL03,stj,568534.1435,5221688.521,HS221F,568539.897,5221689.37,26911,WL,0.22,12.98,BT,0
HS221F_WL04,stj,568538.4883,5221699.685,HS221F,568539.897,5221689.37,26911,WL,0.24,,BT,0
HS221F_WL05,stj,568547.3102,5221697.453,HS221F,568539.897,5221689.37,26911,WL,0.28,12.77,BT,0
